Name,DSP.Project,KSSL.Project,Date,Collectors,UserPedonID,labsampleno,Layer_sequ,layerid,dsp_limslayer_id,Region/strata,Soil,Comparison,COND,Plot,Pedon,Plot ID,Crop,AgronFeat,Pedon_ID,Hor_sequ,hor_ID,Comp_layer,hor_desg,hor_top,hor_bottom,hor_thick,Moist,AggStab,Bgluc,Pom_C,Pom_N,Pom_S,POX_C,CaCarb,Ca_amextr,CEC_ph7,Mg_amextr,K_amextr,Na_extr,Tot_C,Tot_N,Tot_S,CEC_NH4OAc,Mehlich_P,Est_totOC,ph_h20,ph_Cacl2,EC_test,Clay,Sand,Silt,CF_labvol,Sum_bases,BS_NH4OAc,BS_sumBase,Eff_CEC,CEC_sumcation,extr_acid,sand_coarse,sand_fine,sand_medium,sand_vfine,sand_vcoarse,silt_fine,BD_core_fld,FM_core,BD_recon13,BD_recon_moist,BD_compcav,FM_compcav,FM_clod,BD_clod_13,surf_stab,25_stab,Total.C,Total.N,BD_other
GA_Tifton,Dynamic Soil Properties - Emanuel  Co.,C2011USGA015,10/20/2010,"DFW, KM, SM, AG, AKB, DC, MS, PB, AH, MO, MS",S10GA107001,11N00472,1,S10GA107001-1,AL1-1-1,Atlantic ,Tifton,Longleaf Pine,L,1,1,AL1,none,none,AL1-1,1,AL1-1-1,1,A,0,2,2,m,,102,4.43564037,0,0.004285643,686.78,,1.55,15.05,0.49,0.12,0,6.22,0.14,0.02,57.91,,6.22,4.49,3.73,0.1,5.5,83,11.5,0.98,2.2,15,11,4.2,19.6,17.3763,10.13,33.14,27.58,10.02,2.24,7.66,0.34362574,1.2915129,0.91117021,39.8910405,,,,,6,6,,,
GA_Tifton,Dynamic Soil Properties - Emanuel  Co.,C2011USGA015,10/20/2010,"DFW, KM, SM, AG, AKB, DC, MS, PB, AH, MO, MS",S10GA107001,11N00473,2,S10GA107001-2,AL1-1-2,Atlantic ,Tifton,Longleaf Pine,L,1,1,AL1,none,none,AL1-1,2,AL1-1-2,1,A,2,18,16,m,100,16,1.03463004,0,0.004293071,326.1,,0.12,6.65,0.07,0.07,0,2.37,0.03,0.02,60.15,,2.37,4.82,4.04,0.04,5.13,84.9,10,0.95,0.3,4,2,1.8,15.9,15.6388179,12.33,30.49,28.29,10.79,3.01,7.11,1.23922071,5.4298643,1.34478737,20.1806459,,,,,6,6,,,
GA_Tifton,Dynamic Soil Properties - Emanuel  Co.,C2011USGA015,10/20/2010,"DFW, KM, SM, AG, AKB, DC, MS, PB, AH, MO, MS",S10GA107001,11N00474,3,S10GA107001-3,AL1-1-3,Atlantic ,Tifton,Longleaf Pine,L,1,1,AL1,none,none,AL1-1,3,AL1-1-3,2,E,18,32,14,m,,3,0.16828047,0,0,325,,0.1,2,0.05,0.05,0,0.54,0,0.01,60.37,,0.54,5.41,4.53,0.02,6.61,83.1,10.3,0.95,0.1,5,2,0.5,4.1,3.9657932,12.48,30.17,24.03,12.09,4.25,6.69,1.34322524,4.293715,,,,,,,6,6,,,
GA_Tifton,Dynamic Soil Properties - Emanuel  Co.,C2011USGA015,10/20/2010,"DFW, KM, SM, AG, AKB, DC, MS, PB, AH, MO, MS",S10GA107001,11N00475,4,S10GA107001-4,AL1-1-4,Atlantic ,Tifton,Longleaf Pine,L,1,1,AL1,none,none,AL1-1,4,AL1-1-4,3,Bt,32,74,42,m,,2,0.04173517,0,0,250.75,,0.33,2.53,0.42,0.05,0,0.3,0.02,0.02,58.16,,0.3,5.37,4.41,0.02,20.11,71.2,8.7,0.95,0.7,28,16,1.1,4.5,3.7861885,10.21,25.4,22.01,9.49,4.08,6.21,1.19728752,8.7449026,,,,,,,6,6,,,
GA_Tifton,Dynamic Soil Properties - Emanuel  Co.,C2011USGA015,10/20/2010,"DFW, KM, SM, AG, AKB, DC, MS, PB, AH, MO, MS",S10GA107001,11N00476,5,S10GA107001-5,AL1-1-5,Atlantic ,Tifton,Longleaf Pine,L,1,1,AL1,none,none,AL1-1,5,AL1-1-5,3,Btv1,74,100,26,,,,,,,,,0,7.36,0.45,0.05,0,0.11,0.07,0.03,58.31,,0.11,5.56,4.3,0.01,42.46,51.6,5.9,0.99,0.4,5,8,1.2,5.3,4.9438245,7.99,18.73,16.91,6.08,1.87,5.4,,,,,,,,,6,6,,,
GA_Tifton,Dynamic Soil Properties - Emanuel  Co.,C2011USGA015,10/20/2010,"DFW, KM, SM, AG, AKB, DC, MS, PB, AH, MO, MS",S10GA107001,11N00477,6,S10GA107001-6,AL1-1-6,Atlantic ,Tifton,Longleaf Pine,L,1,1,AL1,none,none,AL1-1,6,AL1-1-6,3,Btv2,100,140,40,,,,,,,,,0,3.59,0.09,0.05,0,0.05,0.03,0.01,57.91,,0.05,4.91,4.15,0.01,41.83,53,5.2,0.99,0.1,3,1,1.6,7,6.8502195,9.04,16.2,20.07,4.55,3.17,5.15,,,,,,,,,6,6,,,
GA_Tifton,Dynamic Soil Properties - Emanuel  Co.,C2011USGA015,10/20/2010,"DFW, KM, SM, AG, AKB, DC, MS, PB, AH, MO, MS",S10GA107001,11N00478,7,S10GA107001-7,AL1-1-7,Atlantic ,Tifton,Longleaf Pine,L,1,1,AL1,none,none,AL1-1,7,AL1-1-7,3,Bc,140,183,43,,,,,,,,,0,6.7,0.02,0.05,0,0.02,0.01,0.01,56.93,,0.02,5.01,4.04,0.02,43.66,49.9,6.4,1,0.02,0,0,,7.32,7.2753944,5.62,19.93,17.53,5.7,1.22,5.51,,,,,,,,,6,6,,,
GA_Tifton,Dynamic Soil Properties - Emanuel  Co.,C2011USGA015,10/20/2010,"DFW, KM, SM, AG, AKB, DC, MS, PB, AH, MO, MS",S10GA107002,11N00479,1,S10GA107002-1,AL1-2-1,Atlantic ,Tifton,Longleaf Pine,L,1,2,AL1,none,none,AL1-2,1,AL1-2-1,1,A,0,2,2,m,,59,3.73267317,0.01830651,0.021093281,511.12,,1.29,12.11,0.33,0.16,0,6.22,0.19,0.01,57.99,,6.22,4.28,3.3,0.08,4.04,86.5,9.5,0.99,1.8,15,19,3.4,9.4,7.6415063,10.04,31.81,29.87,12.77,1.98,5.62,0.1664284,1.9305019,0.90657429,37.8802142,,,,,6,6,,,
GA_Tifton,Dynamic Soil Properties - Emanuel  Co.,C2011USGA015,10/20/2010,"DFW, KM, SM, AG, AKB, DC, MS, PB, AH, MO, MS",S10GA107002,11N00480,2,S10GA107002-2,AL1-2-2,Atlantic ,Tifton,Longleaf Pine,L,1,2,AL1,none,none,AL1-2,2,AL1-2-2,1,A,2,10,8,m,99,32,1.96440196,0,0.016427657,507.21,,0.47,7.74,0.16,0.07,0,2.36,0.06,0.01,57.85,,2.36,4.28,3.49,0.06,4.63,85.6,9.8,0.98,0.8,10,6,2.3,12.7,11.9296618,10.46,33,25.08,12.97,3.95,5.74,1.02820613,4.9386085,1.29972445,21.3166556,,,,,6,6,,,
GA_Tifton,Dynamic Soil Properties - Emanuel  Co.,C2011USGA015,10/20/2010,"DFW, KM, SM, AG, AKB, DC, MS, PB, AH, MO, MS",S10GA107002,11N00481,3,S10GA107002-3,AL1-2-3,Atlantic ,Tifton,Longleaf Pine,L,1,2,AL1,none,none,AL1-2,3,AL1-2-3,2,E,10,38,28,m,,4,0.23186767,0,0,156.27,,0,2.48,0.05,0,0,0.74,0.04,0.01,57.77,,0.74,4.8,4.22,0.02,5.27,85,9.7,0.92,0.02,1,0,,4.02,3.963548,9.04,30.77,27.44,14.75,2.97,5.67,1.14725477,5.7460612,,,,,,,6,6,,,
