Anal,Simple explanation,Label
Name,Short Project Name,Project
DSP.Project,Project code used for sorting and analysis,Project code
KSSL.Project,Project name assigned by lab,Lab Project
Date,Date Collected,Date sampled
Collectors,Collectors,Collectors
UserPedonID,User Pedon ID (in Lims and NASIS),User Pedon ID
labsampno,Sample ID assigned by Lims,KSSL Natural Key/ NCSS Lab Sample Number
Layer_sequ,sequence of layer from top (1) to bottom,Layer Sequence
layerID,User pedon ID and horizon sequence number,User Pedon ID and horizon sequence number
dsp_limslayer_ID,DSP code in the lab system,DSP Layer ID
Region/strata,region or geographic feature used to stratify DSP assessment (optional),DSP Region
Soil,Soil series name assigned at sampling,Soil Series
Comparison,Management or Ecological state/community phase,Condition Comparison
COND,Abbrevition for Management or Ecological state/community phase,Condition Comparison (Abbreviation)
Plot,Plot or indepent site of investigation,Plot replicate number
Pedon,Pedon (individual pedon sampled within a plot),Pedon replicate number (within a plot)
PlotID,Management system and plot number combined,Plot ID
Crop,General description of Crop grown at the time of sampling,Crop
ArgonFeat,Agronomic Feature Code used to identify sub-plot variation: such a wheel track and interrow, CodeAgronomic Feature
Pedon_ID,Individual pedon within a plot (in soil change guide - Startum soil replicate ID),Pedon ID
Hor_sequ,Horizon sequence number,Horizon sequence number
Hor_ID,Horizon ID - includes plot and pedon identifiers,Unique horizon ID
Comp_layer, Comparable Layer ID groups similar horizons (by project) for analysis,Comparable Layer 
hor_desg,Horizon symbol (nomenclature) used in typical description,Horizon Designation
hor_top,Upper Depth (cm) of layer/horizon sample,Upper horizon depth (cm)
hor_bot,Lower Depth (cm) of layer/horizon sampled,Lower horizon depth (cm)
hor_thick,Thickness (cm) of horizon/layer sampled,Horizon Thickness (cm)
Moist,Soil moisture status (moist/wet/dry) at sampling,Soil Moisture status at sampling
AggStab,Water stable aggregates,Aggregate Stability (%)
Bgluc,"B- glucosidase, enzyme extraction",ß-Glucosidase  (mg kg-1 hr-1)
Pom_C,Carbon in Particulate Organic Matter ,POM Carbon (%)
Pom_N,Nitrogen in Particulate Organic Matter,POM Nitrogen (%)
Pom_S,Sulfur in Particulate Organic Matter,POM Sulfer (%)
POX_C,potassium permanganate extractable carbon (known as active C),Reactive Carbon (permanganate extractable)  (mg k-1)
CaCarb,Calcium Carbonate using Ammonium Acetate reagent,Calcium Carbonate (%)
Ca_amextr,Calcium extraction using Ammonium Acetate Reagent,Extracted Ca (mEq 100 g-1)
